osc,initial_description,transition_description,finished_description
peeling_pineapple,"Initial state: A whole pineapple stands upright, oval and medium-to-large, with thick, rough rind. Skin is green-brown with yellow hints, arranged in diamond-pattern scales and visible eyes. The flesh inside is not exposed, and the crown of green leaves sits on top. The person is starting to peel by stabilizing the fruit on a board and positioning a knife at the crown to trim it and begin removing the rind.","Mid-peel, the pineapple shows rind removal: irregular yellow flesh exposed where skin has been stripped, with remaining brown patterned rind outlining the fruit. The edges around peeled areas are pale and glossy, slightly moist, with residual fibrous texture near the skin. The core remains visible at the center, untouched or only partially exposed. The handler uses a sharp knife, slicing downward and around the curvature, lifting rind in segments or spirals, rotating the fruit as needed.","End state: A peeled pineapple shows smooth, golden-yellow flesh with rind and eyes removed. The fruit is compact and cylindrical, about the size of a small loaf, with a firm but juicy texture and a pale central core (or hollow center if cored). It’s ready to be cut into rounds or chunks. The person who finished peeling may now be slicing, dicing, or arranging the pieces for serving."
peeling_kiwi,"Initial state: an unpeeled kiwi, oval to oblong, about the size of a small egg, with rough brown fuzzy skin and a hint of green beneath the skin. The beginning action: held steady in one hand; a peeler or paring knife contacts a small edge near the stem, lifting a thin strip of skin as the first peel begins.","The kiwi is partially peeled, brown fuzzy skin remaining in patches or strips along the curved surface. The boundary between skin and exposed flesh is irregular; exposed flesh is bright green, juicy and glistening, with tiny black seeds visible near the center. The remaining skin curls away in places, and the fruit maintains its full size. A hand grips the fruit while a knife or peeler arcs around it, rotating to reveal more flesh.","End state: peeled kiwis show smooth, skinless flesh. The fruit is oval, about the size of a large egg. Flesh is bright green with a pale central core and tiny black seeds in a ring; gold varieties have yellow flesh inside. Surface is glossy, juicy, and slightly crisp; the skin is removed cleanly. The person may now be slicing into rounds, dicing, or scooping to eat."
browning_onion,"Initial state: Raw onion pieces—sliced into rings or dices, about the size of a thumbnail to a bit larger. Color: white to pale yellow; shape: curved rings or irregular chunks. Consistency: firm, crisp, with surface moisture. When browning onion is just starting: in a preheated pan with a light coat of oil; sizzle begins and edges of pieces turn translucent. The beginner might be chopping/slicing, heating the pan, and adding the onion into the pan.","Mid-browning onions are plump but shrinking, often translucent to pale amber, with edges curling and some surfaces turning tan to light amber. They glisten with oil as moisture evaporates; the interior is tender, while outer layers show speckled caramelization. Small brown fond bits form at the bottom. The cook stirs occasionally, adjusts heat to maintain sizzle, and may deglaze or scrape the pan to blend sugars and prevent sticking.","End state: onions are soft, shrunken, irregular pieces with a glossy, deep amber to mahogany brown surface. They are jam-like, velvety, and slightly sticky to the bite, with a sweet caramel aroma. The cook might be deglazing the pan, scraping fond, and emulsifying the onions into a sauce, or tipping them into the dish and adjusting seasoning."
browning_chicken,"Initial browning stage: chicken pieces lie flat in a hot, lightly oiled pan; shape is intact (fillets or chunks) with even thickness. Exterior surfaces are still pale pink to translucent, with a slight sheen from moisture and oil. The first signs of color change appear as the outer layer begins to become opaque, and the edges just begin to set. The cook’s action: heating the pan, adding oil, and laying pieces in a single layer.","As browning progresses, chicken pieces show shrinking and slight curling at the edges. The surface transitions from pale to golden-brown in spots, with a gloss from rendered fat and reduced moisture; centers remain pinkish to light tan in some areas while contact surfaces crust. Edges develop crisp micro-crusts; texture shifts from slick to unevenly textured, with tiny ridges. The cook uses tongs to turn pieces, adjust heat, and rotate pan for even sear and fond formation.","End state: The chicken shows a uniform golden to deep brown crust across the surface, with crisp edges and caramelized, slightly blotchy appearance. The piece is compact with minor shrinkage; exterior is firm and dry to the touch, while the interior remains fully cooked. After browning, the cook may rest the meat, deglaze the pan, add sauce, or move it to the oven to finish."
browning_garlic,"Initial state (just starting browning): garlic pieces—peeled cloves or thinly sliced/minced bits—are ivory-white, sometimes with papery skin, and glossy yet firm. Shapes range from whole 1–2 cm cloves to flat slices a few mm thick or tiny granules; size varies by cut. They sit in a shallow pool of oil in a preheated pan; barely any color, with a faint sizzle just beginning. The beginner is heating oil and adding garlic, stirring or spreading it to distribute heat.","During browning, garlic shifts toward warm straw-yellow with edges turning golden and speckled brown. Slices curl slightly, becoming translucent as moisture evaporates; surfaces glisten with oil, and small, uneven browning marks appear along edges. Internals stay tender while exteriors crisp in spots as color deepens and pieces may shrink slightly. A gentle sizzle marks progress. The cook stirs, tilts, or shuffles the pan to distribute heat and prevent hotspots.","End state: garlic is uniformly golden to amber brown with crisp, slightly curled edges; pieces have shrunk and are dry yet firm, with a light oil sheen. No raw white remains; burnt bits are avoided. The aroma is toasty and nutty. After browning, the cook typically removes the pan from heat or transfers the garlic to a plate, then proceeds to deglaze or fold it into a sauce or final dish."
browning_meat,"Initial browning state: the meat’s surface remains mostly raw and pink-red, bounded by a glossy, moist sheen. At the very edge in contact with the hot pan, you’ll see tiny, pale-to-light-brown specks just beginning to form. The texture is soft, with little resistance to a gentle touch. A faint sizzle is audible as fat begins to render. The cook has preheated the pan, added oil, and laid the meat in a single layer, patting dry if needed.","During browning, the meat shows a patchy, developing crust with a matte-to-glossy surface. The outer area turns golden to deep brown while the center stays lighter; edges may curl as fat renders. The surface is slightly dry with a tacky, crisp crust, while juices bead or hiss in the pan. The meat contracts slightly, shrinking in size. The cook flips and nudges pieces for even contact and sustained sizzle.","End state of browning meat: a uniform, sealed crust of deep golden to dark amber brown across the surface, with a dry, slightly crisp exterior. The piece’s shape and size are unchanged; surface texture is firm, not glossy. Interior color varies by doneness but remains moist in the center. After browning, the cook may rest the meat, deglaze the pan, or transfer to finishing in sauce or oven."
browning_beef,"Initial state: Beef pieces sit in a hot, dry skillet in a single layer, still mostly raw. The interior remains red-pink; the outer surface begins to gray-brown where contact with the pan first occurs. A light sheen of fat and moisture darkens the surface, and a faint sizzle may be audible. The person starting browning is likely placing the meat in the pan and spreading it to maximize pan contact, without stirring yet.","During browning, beef appears as irregular chunks or crumbles with a speckled crust. Exterior surfaces turn tan to deep brown via Maillard reaction, while interiors may stay pinkish-gray. Fats render, glistening in the pan, and juices bead or steam rises. Pieces brown unevenly; edges crisp while centers stay tender. The cook stirs, turns, and separates clumps with a spatula to increase surface contact and even browning.","End state: beef pieces are uniformly browned on all exposed surfaces; color ranges from light brown to dark mahogany; exterior is slightly crisp or crusty while interior is firm and juicy, with minimal surface moisture; fat is rendered; pan shows fond. Depending on cut, shapes are small to medium irregular chunks or crumbled bits, somewhat reduced in size from shrinkage. The cook is likely deglazing the pan and building a sauce or adding aromatics to finish."
browning_sausage,"Initial state (just starting to brown): raw sausage links or pieces in a hot pan. Shape remains cylindrical or curved; size is uniform. Exterior is pale pink or grayish with a glossy, moist surface; small white fat flecks visible; casing, if present, smooth and intact. Texture is firm yet pliable; only a trace of color at the very edges as fat begins to render. The cook preheats the pan and places sausages with space, optionally adding a light oil.","During the in-progress browning, sausage pieces sit in a hot pan, centers pliable as exteriors darken and shrink slightly. Surfaces show uneven browning, with pale gray-brown patches transitioning to honeyed brown. Edges curl and render small crisps as fat pools and sizzles. The texture shifts from plump, moist to slightly crisper, with surface moisture evaporating. A gentle, steady hiss accompanies bubbling as juices migrate outward. The cook flips and nudges pieces for even color.","End state: sausage is fully browned with a rich tan to dark brown surface, crisp edges, and a caramelized crust. Exterior may be crisp; interior fully cooked (no pink), juicy, with rendered fat integrated. Size may shrink slightly from fat loss; shape is irregular if crumbled or formed into links or patties. The cook may drain fat, plate, rest, or add it to a pan sauce or dish."
browning_butter,"In the pan, butter sits as pale yellow, solid chunks or pats, about 1–2 cm thick. The surface is glossy, with no significant liquid yet; edges may be just starting to soften as the heat comes up. A tiny pool of melted fat may cling at the bottom, but most of the butter remains solid. The cook is likely turning on medium heat and placing the pieces into the skillet, possibly cutting or spacing them for even melting.","Mid-browning butter shows a shimmering, translucent pool of melted fat with intermittent white foam on the surface. Milk solids swirl and separate, sinking to form specks that gradually take on amber-brown edges. Bubbles grow smaller, the liquid becomes richer and more viscous; the color shifts from pale yellow to gold and then to light amber. The aroma deepens as toasty notes appear. The cook tilts and swirls the pan, skims foam, and nudges the pan for even heat.","End state: a smooth, glossy pool of browned butter—the color ranges from amber to deep brown—with a nutty aroma. The liquid fat is pourable and slightly viscous; toasted milk solids may be visible as tiny brown specks, either suspended or settled at the bottom of the pan. The surface forms a thin, shallow pool rather than a solid mass. The cook may be pouring it into a sauce, finishing a dish, or drizzling over components."
browning_crust,"Initial browning crust appears as tiny irregular brown patches on a pale cream surface; patches are scattered, about 1–3 mm across, with color from pale beige to light amber. The surface remains soft and slightly tacky, with irregular, patchy shapes and no crispness yet. The baker has just exposed the dough to heat (in the oven) or begun applying a glaze/heat to initiate browning.","Intermediate browning crust shows a developing, uneven surface: golden to amber patches with darker rims; center lighter, can be off-white or tan. Surface may be pale matte before fully drying, then glossy where fats/moisture remains. Texturally, it transitions from soft to crisp, with fine cracks and occasional blisters; edges may curl. Crust expands slightly as moisture escapes. Steam or vapour escapes, leaving a dry, crackly feel. The cook keeps heat steady, rotates, and brushes or baste for even color.","End state of browning crust: the surface is uniformly golden to deep brown, often amber to mahogany, with a crisp, dry, crackly exterior. Texture shows slight blistering and flaky layers where applicable, and a firm bite. Edges remain intact and slightly darker; overall color is even with minimal pale spots. A light sheen from natural fats may be present. The baker is cooling the baked item on a rack, then ready to slice or serve."
browning_bacon,"Initial state: bacon slices laid flat in a skillet, still raw as heat is applied. Shapes are long, straight strips with uniform width; meat color pinkish-red, fat white and opaque. Surface is moist and slightly glossy, not yet dry. Slices are pliable, not curled or crisp. The person has just placed the strips in the pan and started heating, allowing the fat to begin rendering and the meat to warm.","During browning, bacon shows patchy browns from golden to deep amber; fat renders, turning translucent and pooling as strips shrink and curl; edges lift and become crisper while centers remain supple, creating a contrast of textures. The surface becomes glossy with released oil; sizzle and tiny bubbles mark moisture loss. The cook uses tongs to flip, reposition, and separate strips to promote even browning and prevent sticking.","End state: evenly browned to golden‑brown or deeper amber, with crisp, crackly texture. Edges curl and shrink slightly; surface shows rendered fat with a light sheen; meat is firm with a crisp snap, not rubbery. Slight color variation from lighter centers to darker rims. After browning, the cook drains on paper towels and plates the bacon, often serving with eggs or in a dish, while saving the fat for reuse."
browning_pork,"Initial browning state: pork pieces in a single layer, varying shapes and sizes (slices or cubes). Outer edges show the first faint browning; the centers remain pink with surface moisture and a light sheen. Fat rims stay pale. The meat feels firm but pliable. A faint sizzle from the hot pan signals contact with oil. The cook has just placed the pieces down, patting dry and avoiding crowding.","Pieces show partial Maillard browning: surfaces mottled from pale-tan to golden-brown with darker edge points. Some areas are crisp, others remain slightly soft and moist. Fat renders at the margins, glistening. Shrinkage and slight curling occur as moisture evaporates. Pan sizzle persists; spatula or tongs are used to flip or rearrange pieces to maintain even contact and browning.","End state: pork pieces have an even Maillard crust from light golden to dark brown, with crisp, well-defined edges; size and shape match the cut. Exterior is dry and slightly tacky; surface shows caramelized bits (fond). The interior continues to cook to doneness; after browning, the cook may rest, deglaze, slice/serve, or add to a dish."
browning_meatball,"Initial browning state: meatballs are roughly spherical, about the size formed (no change in overall dimensions yet). Exterior begins to color to a light tan or gray-brown; interior remains pink. The surface may glisten with a thin layer of rendered fat and moisture. A gentle sizzling is audible as the bottom makes contact with a hot pan. A beginner might be preheating oil in a skillet, shaping a meatball, and carefully lowering it into the pan without crowding.","Intermediate browning shows a roughly spherical meatball with a slightly flattened contact area from the pan. Size may shrink a bit as surface moisture evaporates. Exterior color progresses from pale pink to golden-brown with a darker edge and a developing crust; surface becomes dry and slightly crisp where in contact. Juices bead and render fat, while the interior remains tender. The cook is actively turning and repositioning for even sear, adjusting heat, and lifting to check color and pan fond.","End state: A browned, spherical meatball with a compact, crisp crust. Diameter about 1–2 inches, still roughly uniform in shape. Exterior color ranges from golden to dark brown with Maillard crust and slight sear marks; surface is textured, crackled, and firm to the touch. Inside remains moist and tender. The cook is likely finishing in sauce, removing from pan, or resting before serving."
browning_mushroom,"- Initial state: Raw mushrooms with caps and stems intact; cap diameter 1–3 cm; slices 0.5–1.5 cm thick; color white to light beige; surface smooth and dry with a slight moisture sheen; shape convex-to-flat; texture firm yet yielding; no browning visible.
- Starter actions: washing or wiping clean; trimming stems; slicing into uniform pieces; preheating a pan with oil or butter for browning.","As browning progresses, mushrooms show color shifting from pale to tan and amber as surface moisture evaporates and sugars caramelize. Caps darken and shrink slightly; edges curl and may crisp. Juices reduce, leaving a satin to lightly glossy surface; texture firms from soft and spongy toward a chewy bite. The cook is likely stirring or tossing in a hot pan, promoting even sear, moisture release, and surface browning.","End state: Mushrooms are golden to deep brown with caramelized edges and a slightly crusty surface. They’ve contracted in size and may appear curled or flattened; overall shape is irregular. They are firmer and less juicy, and feel chewy yet tender inside; a light oil sheen may remain. For the cook, this finish usually leads to plating, tasting, or deglazing the pan to incorporate them into a sauce."
browning_tofu,"Initial state: firm tofu cut into uniform cubes (about 1–2 cm), pale ivory-white, surface visibly moist but not wet. As browning just begins, only the outermost edges show the first light tan specks; the interior remains pale and intact, and the surface looks glossy from a thin oil film. The cook is likely pressing/drying the tofu and heating a lightly oiled pan before placing the cubes in a single layer.","- Color and surface: During browning, tofu surfaces blister and brown unevenly.
- Edges and shape: Edges curl slightly; centers remain pale but firming.
- Crust and color progression: Outer crust becomes light golden to tan, with a dry, crisp rim and darker specks.
- Texture and moisture: The interior stays spongy yet less moist as tiny air pockets form; pieces shrink a touch.
- Cooking actions: The cook flips, sears one side, moves pieces, and adjusts heat/oil to promote browning and prevent sticking.","End state: Firm tofu pieces have a crisp, golden-brown crust on all exposed surfaces, with a slight caramelized sheen and darker edges. The exterior is crisp; the interior remains pale, dense, and chewy. Pieces may be slightly shrunk from their original size. The cook is plating or tossing the browned tofu with sauce or vegetables, draining excess oil, and readying for serving."
browning_turkey,"Initial state: raw/thawed turkey pieces laid in a hot pan in a single layer. Surfaces are pale pink-gray, moist with a light sheen. Tiny irregular spots begin to tan where contact has started; edges may show faint color, but overall texture remains uncooked. The cook has just added a bit of oil and placed the pieces in contact with the pan, likely pressing gently for full contact and not yet flipped.","During in-progress browning, surfaces appear mottled tan to bronze; the skin tightens as moisture evaporates. A thin, savory crust forms where pan heat concentrates; edges curl and crisp. Fat renders, droplets hiss on the surface, and juices glisten. The meat firms yet remains moist beneath. The cook may flip pieces, move them to even heat, baste with pan juices, or adjust heat to maintain sizzle without scorching.","End state: the turkey or cut shows uniform golden-brown to deep bronze skin, crisp and tight with rendered fat sheen and occasional caramelized spots. The surface is dry to the touch, not pale, and the overall form remains recognizable though slightly smaller due to shrinkage. Once browning is complete, the cook is likely resting or tenting the meat, transferring to the oven or carving."
browning_steak,"Initial state: the steak lies flat, a uniform, thick block with a moist, shiny surface; interior remains red-pink. Where the pan first contacts, a few tiny brownish specks appear and a pale glaze forms on the top surface as heat begins. A sizzle starts but the crust is not yet formed. Beginning action: pat dry, heat a heavy pan until hot, add oil, lay steak in gently and leave it to sear without moving.","During browning, the steak’s surface shifts from red/purple to pink-brown and then to deep brown as Maillard crust forms. A dry, crisp crust appears where it contacts the pan; fat renders and pools along the edges. Juices surface as steam bubbles rise; the steak may flex or flatten under heat. The cook maintains heat, watches color, nudges with tongs, and rotates or presses lightly for even sear and crust development.","End state: The steak has a crisp, deeply browned crust with a uniform tan-to-mahogany color, a firm outer surface, and distinct sear marks. The interior has reached the target doneness, with juices largely contained. The steak’s shape remains roughly the cut’s original outline; size slightly reduced by moisture loss. The cook may be resting it, slicing against the grain, or deglazing the pan and plating."
browning_potato,"Initial state (before browning): raw potato pieces—uniform shape (slices or cubes), about 1 cm, firm, pale white to pale yellow, smooth waxy surface, slightly moist. Just starting to brown: faint tan specks at edges where heat first acts, surface still mostly pale. A beginner might be cutting/dicing, patting dry, and preheating a skillet with a splash of oil, ready to add the pieces.","During browning, potato pieces exhibit a gradient from pale to golden as surface moisture evaporates. Edges develop a thin, slightly blistered crust while centers stay partly translucent and soft. The pieces may curl or shrink marginally; surfaces look glossy and then begin to matte as crispness forms. A sizzle and bubble activity persists around oil-exposed faces. The cook is flipping, shuffling, and adjusting heat, sometimes sprinkling salt or adding oil to maintain contact.","End state: uniformly browned potato pieces with a crisp, crackly exterior and a tender interior. Color ranges from golden to deep amber/brown; surface shows a light oil sheen and little moisture. Shapes remain as cut (wedges or chunks); size unchanged, but edges are crisp and slightly curled. The cook may be plating, draining on paper towels, seasoning, or serving."
browning_bread,"Initial state: a single bread slice, rectangular with straight edges and uniform thickness. Size roughly 10×7 cm; about 1 cm thick. Color: pale cream crumb with a slightly tan crust; surface soft and porous, some visible air pockets; light moisture gives a gentle gloss. No browning yet. When just starting, minute golden specks or a faint edge tint may appear as heat begins to act. The person is placing the slice on a toaster or pan to begin heating.","Intermediate browning shows a roughly rectangular slice or loaf with mild expansion and slight warping. The crust firms and crackles, edges curling and forming a shallow, uneven surface. The surface exhibits mottled hues of light tan to amber, with a few blisters or crack lines. The crust dries and tightens, while the interior crumb warms and becomes firmer and less tacky. The person checks progress, adjusts the toaster/oven, or rotates slices to even browning.","End state: a loaf (or slices) with a uniformly golden to deep brown crust, crisp to firm texture, and an even, smooth surface. The loaf's final size matches its baked dimensions, with crust showing slight cracking in spots and even browning around the sides; interior crumb fully set with uniform, small air pockets. The baker has just removed it from the oven and placed it on a cooling rack, then may slice or butter."
browning_vegetable,"Initial browning state: Even-sized vegetable pieces laid in a single layer in a hot pan with a thin oil film. Surfaces remain pale with a faint tan edge just forming; moisture glistens briefly before evaporating. A light sizzle indicates contact heat. The cook is placing the pieces in the pan, spacing them to avoid overlap, and watching the surface for the first hint of browning, possibly adjusting heat or adding more oil.","Intermediate browning appears as mottled surfaces with golden-brown patches and lighter tan areas. Edges may curl and become crisper while centers stay softer, producing a mixed texture. The vegetable surfaces develop a dry, slightly matte look with a light oil sheen; moisture evaporates and tiny juices bead or sizzle. Pieces shrink a bit and sometimes blister. The pan sizzles; the cook stirs, flips, or shuffles pieces to keep contact even and regulate heat.","End state: Vegetables exhibit Maillard browning from golden to deep brown, with blistered, crisp edges and tender, slightly shrunk centers. Surfaces range from dry to lightly glossy, often with a caramelized, sugary sheen. Shape remains identifiable (slices, chunks, or whole pieces). Texture crisp-tender to firm with a browned crust. After browning, the cook may plate and serve, finish with seasoning or sauce, or deglaze and toss for a final coat."
browning_sugar,"Initial state: dry, free-flowing granulated sugar in a pan; white to pale ivory crystals, uniform granule size, granular texture, no clumps. The beginner might place a dry skillet on the stove, sprinkle sugar into a thin, even layer, and spread it evenly with a spoon.","During browning in progress, the sugar has melted into a glossy, fluid syrup that continues to thicken as water evaporates. The color shifts from pale gold toward deeper hues, while the surface shimmers and bubbles; foamy pockets may form as water escapes. The mixture is viscous but still pourable, with a warm, toasty aroma. The cook swirls or tilts the pan to distribute heat, watching for even color and avoiding scorching.","End state: a glossy, uniform amber to deep copper caramel—liquid and viscous when hot, coating surfaces (spoon, spatula) with a thin film. On cooling it can harden into brittle caramel sheets or become chewy candy, depending on concentration and cooling. For the person finished, they’re likely off heat, preparing caramel sauce or glaze (adding cream/butter) or pouring/spreading it onto desserts as it sets."
browning_apple,"Initial browning onset occurs on a cut apple. The fruit is round, about the size of a fist; the exposed flesh is pale white/cream and still firm. Tiny brown-tan freckles appear on the surface near the cut. The intact skin preserves its red/green/yellow hue. A light, moist surface indicates freshness. The person is slicing or peeling with a knife, creating the fresh cut surface that starts browning.","Intermediate browning: exposed flesh shifts from pale white to dull tan, with irregular brown patches spreading from cut edges; color gradients can be yellowish near fresh surface and darker in splotches. The surface remains relatively firm and size unchanged, but may feel slightly softened where oxidation concentrates; texture becomes matte and moist in some areas. The cut faces remain rectangular yet visually uneven, as the person slices, fans out, or sprinkles juice (e.g., lemon) to slow the reaction.","End state: cut apples show brown surfaces from oxidation—colors range from tan to dark brown, with the underlying flesh still pale. The pieces remain in their cut shape (slices, wedges, or chunks); size roughly unchanged. Surface may feel dry or slightly waxy; interior flesh can be crisp near the surface or soft if exposed longer. The person finished browning might be plating, tasting, adding to a dish, or discarding the pieces."
browning_banana,"Initial state: a whole medium banana, about 6 inches long, gently curved, with taut yellow peel and no major bruising. Size is standard; peel smooth and firm. Color mostly bright yellow with a few tiny brown freckles beginning to appear. Flesh hidden, but surface remains intact. The person might be peeling back the skin, or slicing the banana to expose it to air.","Mid-browning banana in progress: slices remain mostly intact but show slight shrinkage; edges curling, some flattening from heat. Color shows amber-brown speckling and caramel patches with a glossy surface. The fruit is soft and creamy in the center, with slightly firmer, syrupy edges. Translucent, blistered patches appear as moisture concentrates. Sweet caramel banana aroma fills the pan. The cook is turning slices, nudging with a spatula, adjusting heat and spacing to promote even browning.","End state: the banana is fully browned—skin dark brown to black and easy to peel; fruit is very soft, mushy, and brown-cream with dark speckles; skin may wrinkle or collapse. The person finished with browning banana is likely mashing it for banana bread or muffins, blending into a smoothie, or mixing into batter for pancakes or desserts."
slicing_onion,"Initial state: a whole onion on a cutting board, its dry papery skin largely intact. Globe-shaped and fist-sized (roughly 5 to 7 cm diameter). Outer skin tan-brown; underneath are compact, pale white, tightly layered internal rings. The onion feels firm and dense; root end and pointed top intact. The preparer stands at the counter, knife in hand and the opposite hand steadying the onion, about to start slicing.","During an in progress slice, the onion is cut into thin, slender curved sheets; cross-sections reveal concentric pale layers and translucent edges. Exposed tissue is moist with a slight gloss and faint fibrous texture; the edges feel crisp and curved. The slices form a fan of partial rounds as the knife passes, while the hand holds the onion with a claw grip and the blade moves in a steady, controlled stroke to keep thickness even.","End state: neatly sliced onions in uniform pieces—rings or cubes—with clean flat surfaces, translucent white to pale yellow color, and slight surface moisture. Sizes are consistent and pieces are either separated on the board or gathered in a bowl. The person is likely transferring the slices to a pan or container to cook, sauté, bag, or add to a dish."
slicing_tomato,"Initial state: a single tomato, whole and intact, about the size of a tennis ball, with smooth, glossy skin—red or variety-tinged—showing a small green stem scar at the top. On a cutting board, the tomato is firm to the touch and uncut. The person is just starting: one hand stabilizes the tomato (fingers splayed to avoid the blade), the other hand holds a knife ready to begin, blade angled toward the fruit, attention focused on the tomato.","During slicing, the tomato sits on a cutting board, skin glossy red and taut; as the knife passes, flesh becomes translucent where cut. Partial slices—curved crescent segments and rough wedges—vary in thickness with each stroke. Juices bead on fresh surfaces; seeds and gel may loosen. The tomato remains pliable, slightly depressed at contact, while the cutter uses a steady downward/rocking motion to create in-progress pieces.","End state: neatly sliced tomato pieces—uniform rounds or wedges, about 1 cm thick, skin glossy red, interior bright red flesh with visible seed pockets, moist and glistening surfaces, cut faces clean. The person finished with slicing may be plating slices on a dish, adding them to a salad, or transferring pieces to a container or bowl for cooking or storage."
slicing_apple,"Initial state: a whole apple, roughly fist-sized (about 7–9 cm across); round to slightly oblong with a short neck, smooth glossy skin; color variegated red with yellow-green undertones and small speckles; stem intact; skin firm and unblemished, flesh crisp beneath. The slicer stands at the cutting board, knife gripped in one hand, the other steadying the apple as the blade is poised to begin the first incision.","Partial slices form as the knife penetrates the apple, carving an arc that deepens with each pass. Wedge-shaped sectors appear, still tethered to the core or neighboring flesh. Exposed flesh is pale, glossy, and crisp; some juices bead on the cut surfaces. Skin around the edges remains colorful (red or green). The slices are thin to moderate thickness, not yet separated. The person steadies and pivots the knife, guiding the fruit to widen the cut and detach pieces.","End state: evenly cut apple wedges with clean edges and uniform thickness. Flesh pale ivory, crisp and juicy; skin visible in red, green, or yellow. Core removed; no exposed core. Pieces arranged neatly on a plate or board, ready to eat or add to a dish. The person finished slicing may be plating, serving, or preparing to eat."
slicing_potato,"Initial state: one whole potato with unbroken skin, oval to oblong shape, about medium size, brown-tan rind with a few eyes; pale, firm flesh beneath. Texture dry and slightly rough; overall earth-toned color. The person starting: place the potato on a cutting board, stabilize it with the non-dominant hand, grip a chef's knife in the dominant hand, and begin a controlled cut to pierce the skin and start the slice.","Partially sliced potato shows a dual terrain: on one side, a stack of parallel, uniform slabs or rounds; the other side remains mostly intact. Cut surfaces are pale ivory, slightly moist, with fine grain and a smooth or slightly fibrous texture; skin remains visible around edges, contrasting tan-brown. The knife is mid-action, guiding the potato with a steady grip, producing even, consistent thickness while the potato is rotated for alignment. Some separated slices may lie nearby.","End state: uniformly cut potato pieces—round discs or evenly sized sticks—with pale cream interior and optional skin at the edges. Surface is smooth and moist, knife marks minimal, thickness uniform. Color inside is light beige to white; skin may be present or peeled. After slicing, the person might be transferring slices to a tray or bowl, patting dry, seasoning, or lining them for cooking."
slicing_mushroom,"Initial state: a whole mushroom—cap smooth, convex to flat, about 2–4 cm in diameter, white to light brown, with a firm pale stem. It rests upright on a clean cutting board; surface moisture may be visible. The slicer stabilizes the base with one hand, fingers gently gripping the stem, while the other hand holds a knife poised just above the cap, ready to begin slicing. No cut has been made yet.","Mid-slice state shows circular cross-sections of varying thickness, from thin shavings to thicker wedges. Caps reveal pale beige flesh with slight translucence near the cut edge; stems remain white, firm, and slightly fibrous. Surfaces are glossy and moist, with occasional browning or oxidation at the edge. The pile on the board includes rounds, crescents, and irregular shards. The person slices with a steady downward motion, guiding and rotating the mushroom to expose new surfaces.","End state: mushrooms appear as uniform crosswise slices—round to oval discs, roughly 2–4 mm thick, pale white interior with light tan exterior. Edges are clean and smooth; flesh remains firm and juicy. Pieces are evenly sized for even cooking. The person finished slicing is likely transferring to a pan for sautéing, portioning for a recipe, or bagging/storing chopped mushrooms."
slicing_garlic,"Initial state: a whole head of garlic sits on a cutting board, its papery beige skin intact; cloves are firm, white to ivory, tightly packed and wrapped in a thin membrane. A chef’s knife is poised above the bulb; the person’s hands grip the handle with stable posture, ready to begin slicing but has not yet touched the garlic.","In progress: cloves show a mix of partially sliced pieces and whole sections. Thin translucent coins and crescent-shaped slivers sit alongside intact cloves. Cut surfaces are moist and glossy, pale white to pale yellow, with crisp edges. Sizes range from fine ribbons to small discs; some pieces curl as oils release. The person guides the knife with a controlled downward or rocking motion, progressively exposing more surface area.","End state: flat, thin garlic slices that are uniform in thickness—disc- or crescent-shaped, about 4–8 mm in diameter; ivory-white with slight edge translucence and a glossy surface. Texture ranges from crisp to tender; edges clean with no whole cloves remaining. They may now be transferring slices to a pan to sauté, adding them to a dish, or cleaning the area after slicing."
slicing_lemon,"A whole lemon sits intact on a cutting board: bright yellow, smooth to slightly dimpled rind, about the size of a ping-pong ball to a small orange, with the stem end and white pith visible. The fruit looks firm and fresh under the skin. A person is at the outset: one hand steadies the lemon, the other positions a knife at the rind, preparing the initial incursion but not yet cutting through.","Intermediate state: the lemon is partially segmented, with some exact cross-sections exposed while others remain integral. Cut faces show curved, crescent-shaped slices, with translucent pulp visible through thin membranes. The rind is still mostly attached, exposing yellow zest and white pith around moist, glistening flesh. Slice thickness varies, edges are crisp but slightly ragged where the knife has pressed through. The knife tip remains in contact, angled, applying steady downward pressure as the person guides the blade.","End state: neatly cut lemon wedges or rounds with bright yellow rind and juicy pale flesh. The membranes are intact, surfaces glisten with juice, and seeds are minimal. Pieces are evenly sized and neatly arranged, ready for use. The person may now squeeze juice into a glass or pitcher, or place slices as a garnish in drinks or on dishes."
slicing_banana,"Initial state: a single ripe banana, curved and about 6–8 inches long, with a smooth yellow peel and occasional brown speckles. The fruit feels firm to moderately soft, with a slight give when pressed near the middle. The peel rim at the stem is intact. At the start, a person steadies the banana on a cutting board, holding the fruit with one hand while the other hand hovers a knife near the top end, prepared to begin cutting.","Intermediate state: banana partially peeled with a knife mid-stroke, revealing pale yellow, creamy flesh. Slices emerge as round or crescent discs of varying thickness; some pieces still connected by fibrous strands. The peel shows green-yellow mottling, exposed flesh is moist and slightly glossy, transitioning from firm to creamy. The cutter’s hand stabilizes the fruit, applying steady pressure while guiding slices away from the blade.","End state: evenly sliced banana pieces - circular discs (or curved half-moons) about 0.3–0.8 cm thick; pale yellow flesh with smooth edges, soft yet firm, occasionally with light browning speckles. Arrangement may be clustered or lined on a plate. The person may be plating them, adding to cereal/fruit salad, or prepping for a recipe."
